frame,classe
153,car
153,car
153,car
153,car
153,car
153,car
153,person
153,truck
153,car
154,bus
154,bus
154,car
154,car
154,car
154,car
154,car
154,car
154,car
154,car
154,car
154,car
154,truck
154,car
154,car
154,car
154,person
154,car
154,person
155,bus
155,bus
155,car
155,car
155,truck
155,car
155,car
155,car
155,car
155,car
155,car
155,car
155,car
155,car
155,person
155,person
156,truck
156,bus
156,bus
156,car
156,car
156,car
156,car
156,car
156,car
156,car
156,car
156,car
156,car
156,car
156,car
156,person
156,car
156,person
156,person
156,car
157,truck
157,bus
157,car
157,car
157,car
157,car
157,bus
157,car
157,car
157,car
157,car
157,car
157,car
157,car
157,car
157,bicycle
157,person
157,person
158,truck
158,bus
158,bus
158,car
158,car
158,car
158,car
158,car
158,car
158,car
158,car
158,car
158,car
158,car
158,car
158,bicycle
158,person
158,car
159,truck
159,bus
159,car
159,bus
159,car
159,car
159,car
159,car
159,car
159,car
159,car
159,car
159,car
159,car
159,bicycle
159,car
159,person
159,person
160,truck
160,car
160,bus
160,car
160,bus
160,car
160,car
160,car
160,car
160,car
160,car
160,car
160,car
160,car
160,person
160,car
160,person
160,car
160,bicycle
161,bus
161,truck
161,car
161,bus
161,car
161,car
161,car
161,car
161,car
161,truck
161,car
161,car
161,car
161,truck
161,car
161,car
161,car
161,car
161,person
161,car
162,truck
162,bus
162,car
162,truck
162,car
162,bus
162,car
162,car
162,car
162,car
162,car
162,car
162,car
162,car
162,car
162,car
162,car
162,car
162,person
163,truck
163,truck
163,bus
163,car
163,car
163,car
163,car
163,car
163,bus
163,car
163,car
163,car
163,car
163,car
163,car
163,person
163,car
163,car
163,car
163,car
164,truck
164,bus
164,car
164,car
164,car
164,car
164,car
164,car
164,car
164,car
164,car
164,truck
164,car
164,bus
164,car
164,car
164,car
164,car
164,car
165,car
165,car
165,car
165,car
165,car
165,car
165,bus
165,truck
165,car
165,car
165,car
165,car
165,bus
165,car
165,car
165,car
165,person
165,truck
165,car
166,car
166,car
166,car
166,car
166,car
166,car
166,car
166,bus
166,car
166,truck
166,car
166,car
166,car
166,person
166,car
166,car
166,truck
167,car
167,car
167,car
167,car
167,car
167,car
167,bicycle
167,car
167,car
167,truck
167,car
167,car
167,car
167,bus
167,car
167,truck
168,car
168,car
168,car
168,car
168,car
168,bus
168,car
168,car
168,bicycle
168,car
168,car
168,person
168,car
168,car
168,truck
168,car
168,person
168,car
168,truck
169,car
169,car
169,car
169,car
169,car
169,truck
169,car
169,car
169,car
169,car
169,car
169,person
169,car
169,bus
169,bus
169,person
170,car
170,car
170,bus
170,car
170,car
170,car
170,car
170,car
170,car
170,car
170,car
170,truck
170,truck
170,car
170,person
170,person
170,person
170,car
170,car
171,bus
171,car
171,car
